id,game_title,sub_title,game_system,genre,now_playing,game_status,game_hours,game_minutes,playtime_calc,add_date,start_date,beat_date,complete_date,game_notes
632,Golf With Your Friends,,Steam,,N,Not Started,,,,43650,,,,
633,Slipstream,,Steam,Racing,N,Completed,8,,Actual,7/4/2019,10/31/2019,43771,43771,
634,MARVEL ULTIMATE ALLIANCE 3: The Black Order,,Switch,,Y,Beaten,,,,7/19/2019,43665,43672,,
635,Test Drive 4,,PS1,,N,Not Started,,,,43702,,,,
636,Test Drive 5,,PS1,,N,Not Started,,,,43702,,,,
637,Test Drive Off-Road,,PS1,,N,Not Started,,,,43702,,,,
638,ATV Offroad Fury 2,,PS2,,N,Not Started,,,,43702,,,,
639,ATV Offroad Fury 4,,PS2,,N,Not Started,,,,43702,,,,
640,SSX 3,,PS2,,N,Not Started,,,,43702,,,,
641,Shadow of the Colossus,,PS2,,N,Not Started,,,,43702,,,,
642,Ratchet & Clank,,PS2,,N,Not Started,,,,43702,,,,
643,Need for Speed: Underground 2,,PS2,,N,Not Started,,,,43702,,,,
644,Time Crisis,,PS1,,N,Not Started,,,,43702,,,,
645,Death Road to Canada,,Switch,,N,Not Started,,,,43757,,,,
646,Golf Peaks,,Switch,,N,Completed,,,,10/31/2019,12/24/2019,43828,43828,
647,Borderlands 3,,PS4,,N,Completed,,,,11/24/2019,9/13/2019,43924,43935,
648,Wreckfest,,PS4,,N,Completed,,,,11/24/2019,12/1/2019,43811,43811,
649,Donkey Kong Country: Tropical Freeze,,Switch,,N,Not Started,,,,43797,,,,
650,Ni no Kuni: Wrath of the White Witch,,Switch,,N,Not Started,,,,43797,,,,
651,Collection of Mana,Final Fantasy Adventure,Switch,,N,Completed,,,,11/28/2019,12/24/2019,43826,43826,
652,Collection of Mana,Secret of Mana,Switch,,Y,Started,,,,43797,43826,,,
653,Collection of Mana,Trials of Mana,Switch,,N,Not Started,,,,43797,,,,
654,Call of Duty: Modern Warfare,,XB1,,Y,Started,,,,43797,43814,,,
655,Mario + Rabbids Kingdom Battle,,Switch,,N,Not Started,,,,43797,,,,
656,Mega Man 11,,Switch,,N,Not Started,,,,43797,,,,
657,The Liar Princess and the Blind Prince,,Switch,,N,Not Started,,,,43797,,,,
658,Minecraft Dungeons,,PC,,Y,Beaten,,,,5/27/2020,43978,43981,,Final boss killed himself.
659,Cyberpunk 2077,,XB1,,N,Wish List,,,,,,,,
660,The Legend of Wright,,XB1,,N,Wish List,,,,,,,,
661,Star Wars Jedi: Fallen Order,,XB1,,N,Wish List,,,,,,,,
662,The Legend of Zelda: Breath of the Wild 2,,Switch,,N,Wish List,,,,,,,,
663,The Last Remnant,,XB1,,N,Wish List,,,,,,,,
664,Circuit Superstars,,XB1,,N,Wish List,,,,,,,,
665,Marvel's Avengers,,XB1,,N,Wish List,,,,,,,,
666,Phantasy Star Online 2,,XB1,,N,Wish List,,,,,,,,
667,Anthem,,PS4,,N,Not Started,,,,43824,,,,
668,Pokemon Shield,,Switch,,N,Not Started,,,,43824,,,,
669,Sakuna: Of Rice and Ruin,,Switch,,N,Wish List,,,,,,,,
670,Elsie,,PC,,N,Wish List,,,,,,,,
671,The Pathless,,Epic Games,,N,Wish List,,,,,,,,
672,Valorant,,PC,,N,Infinite,,,,43932,43937,,,Utility btw.
D001,RollerCoaster Tycoon,Corkscrew Follies,PC,Simulation,N,Beaten,,,,,,,,DELUXE.
D002,RollerCoaster Tycoon,Loopy Landscapes,PC,Simulation,N,Beaten,,,,,,,,
D003,StarCraft,Broodwar,PC,Real-time strategy,N,Completed,,,,,,,,
D004,Call of Duty: Black Ops,First Strike,360,Shooter,N,Beaten,,,,,,,,
D005,Call of Duty: Black Ops II,Revolution,360,Shooter,N,Beaten,,,,,,,,
D006,Call of Duty: Black Ops II,Uprising,360,Shooter,N,Beaten,,,,,,,,
D007,DiRT 3,Monte Carlo Track Pack,360,Racing,N,Completed,,,,,,,,
D008,DiRT 3,Mud and Guts Car Pack,360,Racing,N,Completed,,,,,,,,
D009,DiRT 3,Power and Glory Car Pack,360,Racing,N,Completed,,,,,,,,
D010,DiRT 3,Shibuya Track Pack,360,Racing,N,Completed,,,,,,,,
D011,Sonic Adventure DX: Director's Cut,Sonic Adventure DX Upgrade,XBLA,,N,Infinite,,,,,,,,Null until Microsoft/SEGA fixes it (probably never).
D012,Trials Evolution,Origin of Pain,XBLA,,N,Beaten,,,,,,,,
D013,Trials Evolution,Riders of Doom,XBLA,,N,Beaten,,,,,,,,
D014,Borderlands 2,Captain Scarlett and Her Pirate's Booty,360,,N,Completed,,,,,,,,Done on UVHM!
D015,Borderlands 2,Mr. Torgue's Campaign of Carnage,360,,N,Completed,,,,,,,,Hey Moxxi.
D016,Borderlands 2,Sir Hammerlock's Big Game Hunt,360,,N,Completed,,,,,,,,Completed.
D017,Borderlands 2,Tiny Tina's Assault on Dragon Keep,360,,N,Completed,,,,,,,,TVHM.
D018,Burnout Paradise: The Ultimate Box,Bikes Pack,Steam,,N,Beaten,,,,,,,,2% complete.
D019,RESOGUN,Construction Kit,PS4,,N,Beaten,,,,,,,,
D020,RESOGUN,Heroes,PS4,,N,Beaten,,,,,,,,
D021,Trials Fusion,Empire of the Sky,PS4,,N,Beaten,,,,,,,,"Ugh, extreme."
D022,Trials Fusion,Riders of the Rustlands,PS4,,N,Beaten,,,,,,,,
D023,Overlord,Raising Hell,Steam,,N,Infinite,,,,,,,,Came with DiRT Humble Bundle. Never going to play. :P
D024,Diablo II,Lord of Destruction,PC,,N,Beaten,,,,,,,,Nightmare.
D025,Diablo III,Reaper of Souls,BNet,,N,Beaten,,,,,,,,54% of achievements.
D026,DRIVECLUB,All Stars,PS4,Racing,N,Completed,,,,,,,,
D027,DRIVECLUB,AMG,PS4,Racing,N,Completed,,,,,,,,
D028,DRIVECLUB,Apex,PS4,Racing,N,Completed,,,,,,,,
D029,DRIVECLUB,Downforce,PS4,Racing,N,Completed,,,,,,,,
D030,DRIVECLUB,Elements,PS4,Racing,N,Completed,,,,,,,,
D031,DRIVECLUB,Evolution,PS4,Racing,N,Completed,,,,,,,,
D032,DRIVECLUB,Horsepower,PS4,Racing,N,Completed,,,,,,,,
D033,DRIVECLUB,Ignition,PS4,Racing,N,Completed,,,,,,,,Too easy.
D034,DRIVECLUB,Lamborghini,PS4,Racing,N,Completed,,,,,,,,
D035,DRIVECLUB,Lamborghini Icons,PS4,Racing,N,Completed,,,,,,,,
D036,DRIVECLUB,Midnight,PS4,Racing,N,Completed,,,,,,,,
D037,DRIVECLUB,Pacesetter,PS4,Racing,N,Completed,,,,,,,,
D038,DRIVECLUB,Photo-Finish,PS4,Racing,N,Completed,,,,,,,,
D039,DRIVECLUB,Redline,PS4,Racing,N,Completed,,,,,,,,
D040,DRIVECLUB,RPM,PS4,Racing,N,Completed,,,,,,,,
D041,DRIVECLUB,Sakura,PS4,Racing,N,Completed,,,,,,,,
D042,DRIVECLUB,Torque,PS4,Racing,N,Completed,,,,,,,,
D043,DRIVECLUB,Turbocharged,PS4,Racing,N,Completed,,,,,,,,
D044,DRIVECLUB,Unite In Speed,PS4,Racing,N,Completed,,,,,,,,
D045,DRIVECLUB,Velocity,PS4,Racing,N,Completed,,,,,,,,
D046,Peggle 2,Jimmy Lightning Master Pack,PS4,,N,Completed,,,,,,,,
D047,Peggle 2,Windy the Fairy Master Pack,PS4,,N,Completed,,,,,,,,
D048,Burnout Paradise Remastered,Big Surf Island,PS4,Racing,N,Completed,,,,4/28/2018,5/20/2018,43247,43247,
D049,Burnout Paradise Remastered,Bikes Pack,PS4,Racing,N,Completed,,,,4/28/2018,5/27/2018,43250,43250,
D050,Burnout Paradise Remastered,Boost Specials,PS4,Racing,N,Completed,,,,4/28/2018,5/27/2018,43247,43247,
D051,Burnout Paradise Remastered,Cagney Update,PS4,Racing,N,Completed,,,,4/28/2018,5/13/2018,43233,43240,
D052,Burnout Paradise Remastered,Cops and Robbers,PS4,Racing,N,Completed,,,,4/28/2018,5/19/2018,43239,43239,
D053,Burnout Paradise Remastered,Legendary Cars,PS4,Racing,N,Completed,,,,4/28/2018,5/19/2018,43240,43240,
D054,Burnout Paradise Remastered,Party Pack,PS4,Racing,N,Completed,,,,4/28/2018,5/20/2018,43247,43247,
D055,Burnout Paradise Remastered,Toy Cars,PS4,Racing,N,Completed,,,,4/28/2018,5/27/2018,43247,43247,
D056,Forza Horizon 3,Blizzard Mountain,PC,Racing,N,Completed,,,,10/3/2018,5/24/2019,43629,43659,
D057,Forza Horizon 3,Hot Wheels,PC,Racing,N,Completed,,,,10/3/2018,5/24/2019,43630,43643,
D058,Borderlands 2,Commander Lilith and the Fight for Sanctuary,360,,N,Completed,,,,6/9/2019,6/17/2019,43634,43634,
D059,Borderlands 3,Moxxi's Heist of the Handsome Jackpot,PS4,,N,Completed,,,,11/24/2019,4/14/2020,43936,43939,
D060,Borderlands 3,"Guns, Love, and Tentacles",PS4,,N,Completed,,,,11/24/2019,4/20/2020,43943,43944,
D061,Kingdom Hearts III,Re Mind,XB1,ARPG,N,Beaten,,,,5/16/2020,43967,43967,,Not worth 30 bucks...
